City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,punta arenas,CL,2021-01-16 19:02:13,-53.15,-70.9167,60.8,59,90,12.66
1,saint-leu,RE,2021-01-16 19:03:26,-21.15,55.2833,82.4,78,75,4.61
2,bredasdorp,ZA,2021-01-16 19:03:26,-34.5322,20.0403,69.8,64,0,12.66
3,lakes entrance,AU,2021-01-16 19:03:26,-37.8811,147.981,55.99,74,41,1.99
4,luzhou,CN,2021-01-16 19:03:26,28.8724,105.4405,41.63,89,100,11.61
5,golyshmanovo,RU,2021-01-16 19:03:26,56.3979,68.3728,17.71,96,100,13.6
6,codrington,AU,2021-01-16 19:03:26,-38.2667,141.9667,55.4,70,99,9.73
7,mataura,NZ,2021-01-16 19:03:27,-46.1927,168.8643,63.0,73,100,10.0
8,ushuaia,AR,2021-01-16 19:03:03,-54.8,-68.3,59.0,58,75,17.27
9,tiksi,RU,2021-01-16 19:03:27,71.6872,128.8694,-13.14,90,100,12.84
10,mar del plata,AR,2021-01-16 19:00:00,-38.0023,-57.5575,71.6,73,90,24.16
11,alice springs,AU,2021-01-16 19:03:27,-23.7,133.8833,66.2,45,55,5.75
12,monte alegre,BR,2021-01-16 19:01:26,-2.0078,-54.0692,93.15,35,0,7.09
13,buala,SB,2021-01-16 19:03:27,-8.145,159.5921,80.33,79,100,7.05
14,rikitea,PF,2021-01-16 19:03:27,-23.1203,-134.9692,77.97,67,56,3.87
15,butaritari,KI,2021-01-16 19:03:27,3.0707,172.7902,80.87,75,31,22.26
16,saint-philippe,RE,2021-01-16 19:03:27,-21.3585,55.7679,82.4,78,75,4.61
17,hermanus,ZA,2021-01-16 19:03:27,-34.4187,19.2345,66.0,82,0,7.85
18,hobart,AU,2021-01-16 19:02:58,-42.8794,147.3294,50.0,57,75,6.91
19,dikson,RU,2021-01-16 19:03:06,73.5069,80.5464,-31.54,78,0,10.04
20,beibei,CN,2021-01-16 19:03:27,29.8256,106.4339,41.0,93,90,15.66
21,jambi,ID,2021-01-16 19:03:28,-1.6,103.6167,75.22,96,100,2.21
22,kaniama,CD,2021-01-16 19:03:28,-7.5667,24.1833,67.08,94,99,1.59
23,vaini,TO,2021-01-16 19:03:28,-21.2,-175.2,80.6,89,75,8.05
24,atuona,PF,2021-01-16 19:03:28,-9.8,-139.0333,77.77,78,3,15.88
25,mahajanga,MG,2021-01-16 19:03:28,-15.7167,46.3167,82.4,83,40,4.61
26,jamestown,US,2021-01-16 18:59:14,42.097,-79.2353,34.0,80,90,10.36
27,severobaykalsk,RU,2021-01-16 19:03:28,55.65,109.3167,-22.79,79,14,8.48
28,salamiyah,SY,2021-01-16 19:03:28,35.0113,37.0532,50.79,79,0,9.1
29,hambantota,LK,2021-01-16 19:03:28,6.1241,81.1185,73.4,100,40,10.0
30,leningradskiy,RU,2021-01-16 19:03:29,69.3833,178.4167,-18.8,87,100,1.97
31,avarua,CK,2021-01-16 19:03:29,-21.2078,-159.775,82.4,78,81,6.91
32,bathsheba,BB,2021-01-16 19:03:29,13.2167,-59.5167,84.2,58,0,17.27
33,bluff,NZ,2021-01-16 19:03:29,-46.6,168.3333,63.0,73,100,10.0
34,klaksvik,FO,2021-01-16 19:03:13,62.2266,-6.589,42.8,100,90,10.36
35,haines junction,CA,2021-01-16 19:03:29,60.7522,-137.5108,12.2,92,100,1.14
36,narsaq,GL,2021-01-16 19:03:10,60.9167,-46.05,19.4,58,75,10.36
37,albany,US,2021-01-16 19:00:12,42.6001,-73.9662,39.99,81,100,9.22
38,cape town,ZA,2021-01-16 19:00:06,-33.9258,18.4232,71.01,64,20,10.36
39,horsham,GB,2021-01-16 19:03:29,51.064,-0.3272,46.0,87,75,8.05
40,wadi musa,JO,2021-01-16 19:03:29,30.3222,35.4793,43.9,60,0,10.02
41,wainwright,CA,2021-01-16 19:03:29,52.839,-110.8572,32.0,69,0,10.36
42,ibra,OM,2021-01-16 19:03:29,22.6906,58.5334,56.52,81,0,1.48
43,airai,TL,2021-01-16 19:03:30,-8.9266,125.4092,62.26,100,100,1.05
44,yellowknife,CA,2021-01-16 19:01:27,62.456,-114.3525,-4.0,77,75,9.22
45,sitka,US,2021-01-16 19:03:30,57.0531,-135.33,46.4,61,90,18.41
46,san andres,CO,2021-01-16 19:00:18,12.5847,-81.7006,86.0,70,20,14.97
47,vatava,RO,2021-01-16 19:03:30,46.9667,24.7667,16.0,79,90,4.61
48,ulaangom,MN,2021-01-16 19:03:30,49.9811,92.0667,-16.73,87,99,1.43
49,torbay,CA,2021-01-16 19:03:30,47.6666,-52.7314,33.01,93,90,24.16
50,mildura,AU,2021-01-16 19:03:30,-34.2,142.15,57.2,77,0,8.05
51,naze,JP,2021-01-16 19:03:30,28.3667,129.4833,54.93,78,27,23.2
52,sao filipe,CV,2021-01-16 19:03:29,14.8961,-24.4956,72.14,73,6,14.58
