City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,jamestown,US,42.097,-79.2353,35.01,93,90,9.22,light snow
1,albany,US,42.6001,-73.9662,37.99,67,97,14.56,overcast clouds
2,vokhtoga,RU,58.8147,41.0461,-9.45,88,41,2.84,light snow
3,santa fe,AR,-31.6333,-60.7,81.0,29,0,8.99,clear sky
4,tongren,CN,27.7172,109.1853,38.91,75,36,2.06,scattered clouds
5,ushuaia,AR,-54.8,-68.3,51.8,62,90,6.24,drizzle
6,raudeberg,NO,61.9875,5.1352,37.4,87,75,21.85,broken clouds
7,marsabit,KE,2.3284,37.9899,72.95,54,70,7.49,broken clouds
8,portland,US,45.5234,-122.6762,46.99,93,90,3.44,light intensity drizzle
9,yellowknife,CA,62.456,-114.3525,-2.0,78,90,4.61,light snow
10,hithadhoo,MV,-0.6,73.0833,81.57,71,86,4.92,overcast clouds
11,kamenka,RU,51.3223,42.7678,-2.0,86,100,4.43,overcast clouds
12,whitehorse,CA,60.7161,-135.0538,23.0,93,75,8.05,broken clouds
13,smithers,CA,54.7804,-127.1743,32.0,100,75,1.7,broken clouds
14,naze,JP,28.3667,129.4833,51.06,80,93,15.01,overcast clouds
15,rikitea,PF,-23.1203,-134.9692,78.44,77,14,14.94,few clouds
16,port elizabeth,ZA,-33.918,25.5701,69.8,73,75,8.05,broken clouds
17,victoria,HK,22.2855,114.1577,57.0,50,51,11.79,broken clouds
18,barrow,US,71.2906,-156.7887,-0.4,71,90,16.11,overcast clouds
19,arraial do cabo,BR,-22.9661,-42.0278,89.6,51,0,19.57,clear sky
20,samarai,PG,-10.6167,150.6667,82.99,80,45,13.6,scattered clouds
21,bethel,US,41.3712,-73.414,41.0,48,90,12.66,overcast clouds
22,mataura,NZ,-46.1927,168.8643,42.71,92,66,4.03,broken clouds
23,tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,90,10.36,light snow
24,anshun,CN,26.25,105.9333,33.03,91,91,2.53,overcast clouds
25,iza,UA,48.2152,23.3287,24.8,80,90,3.44,overcast clouds
26,katsuura,JP,35.1333,140.3,39.99,65,0,8.05,clear sky
27,kortkeros,RU,61.8106,51.5806,-14.8,84,20,6.71,few clouds
28,puerto leguizamo,CO,-0.1934,-74.7819,92.8,34,57,6.67,broken clouds
29,dingle,PH,10.9995,122.6711,75.34,90,100,7.81,light rain
30,yar-sale,RU,66.8333,70.8333,-12.69,89,100,15.61,light snow
31,qaanaaq,GL,77.484,-69.3632,-1.44,76,0,5.7,clear sky
32,lata,PT,40.1629,-8.3327,53.6,71,0,4.61,clear sky
