City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,santa fe,AR,81.0,clear sky,-31.6333,-60.7,Conquistador Hotel
10,hithadhoo,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
15,rikitea,PF,78.44,few clouds,-23.1203,-134.9692,Pension Maro'i
19,arraial do cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
20,samarai,PG,82.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
29,dingle,PH,75.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
34,cidreira,BR,80.38,overcast clouds,-30.1811,-50.2056,Hotel Castelo
35,tabou,CI,80.6,light rain,4.423,-7.3528,hotêl doufoulougou
36,butaritari,KI,80.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
37,atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
38,saint-philippe,RE,82.4,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,aden,YE,76.5,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
41,puerto ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Castillo Galapagos
42,karratha,AU,89.78,broken clouds,-20.7377,116.8463,ibis Styles Karratha
47,pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
53,biu,NG,75.25,broken clouds,10.6129,12.1946,Empire Palace
56,avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
58,labuhan,ID,77.29,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
64,rondonopolis,BR,75.31,light rain,-16.4708,-54.6356,Serras Hotel
66,banda aceh,ID,79.29,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
69,jardim,BR,80.17,overcast clouds,-21.4803,-56.1381,Hotel Estância
74,carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
83,port-gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
86,cape town,ZA,75.2,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
87,santa cruz cabralia,BR,84.2,scattered clouds,-16.2781,-39.0247,Portobali Hotel
91,georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
95,bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
100,itarema,BR,86.45,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
101,boyolangu,ID,75.51,overcast clouds,-8.1181,111.8935,Yos ega cv
104,naifaru,MV,82.2,clear sky,5.4444,73.3657,Naifaru Residence Guest House
109,manggar,ID,79.21,light rain,-2.8833,108.2667,Guest Hotel
110,saldanha,ZA,78.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
112,jaque,PA,84.07,scattered clouds,7.5175,-78.1703,Imbu Bua Lodge
114,ugoofaaru,MV,82.2,few clouds,5.6667,73.0,Ungoofaaru Inn
115,mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,cockburn town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
126,isangel,VU,79.52,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
130,san fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
133,vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
136,puerto quijarro,BO,83.07,moderate rain,-17.7833,-57.7667,Hotel palance
140,marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
143,puerto baquerizo moreno,EC,80.6,few clouds,-0.9,-89.6,Hotel los Algarrobos
146,souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,geraldton,AU,84.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
156,nileshwar,IN,79.52,scattered clouds,12.25,75.1,Neeleshwar Hermitage
161,faanui,PF,81.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,padang,ID,77.0,heavy intensity rain,-0.9492,100.3543,Mercure Padang
167,kuantan,MY,75.2,few clouds,3.8077,103.32600000000001,Hotel Sentral Kuantan
169,gizo,SB,83.39,broken clouds,-8.103,156.8419,Imagination Island
171,manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
178,bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
187,viedma,AR,78.01,clear sky,-40.8135,-62.9967,Hotel Cristal
188,port blair,IN,79.34,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
193,salinopolis,BR,84.61,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
196,pekan,MY,75.2,few clouds,3.4836,103.3996,Pekan Budget Hotel
201,mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
205,mandera,KE,86.7,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
209,bhikangaon,IN,77.05,clear sky,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
211,srivardhan,IN,76.46,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
212,harper,LR,80.71,light rain,4.375,-7.7169,Screensaver
213,malpe,IN,80.6,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
214,nosy varika,MG,80.58,overcast clouds,-20.5833,48.5333,Hotel Volazara
216,montecristi,EC,82.4,few clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
221,kendari,ID,75.09,light rain,-3.945,122.4989,Hotel Wixel
223,grand gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
226,porto seguro,BR,84.2,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
227,molina,CL,78.8,clear sky,-35.1167,-71.2833,Hostal Pucará
230,sao joao da barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
233,kirakira,SB,80.64,scattered clouds,-10.4544,161.9205,SanBiz Lodge
235,eyl,SO,75.9,broken clouds,7.9803,49.8164,Amiin Hotel
236,vao,NC,76.6,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
244,las juntas,MX,80.6,scattered clouds,19.4167,-104.7,La casa de la Riata
245,rocha,UY,76.14,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
